     TotalZoneNumber           NParticle        CumulativeNP     CumulativeRatio
                   0              100000        9.023200e+04        9.023200e-01
                   1              100000        3.030192e+05        3.030192e+00
                   2              100000        5.113002e+05        5.113002e+00
                   3              100000        6.994750e+05        6.994750e+00
                   4              100000        8.687979e+05        8.687979e+00
                   5              100000        1.022290e+06        1.022290e+01
                   6              100000        1.162663e+06        1.162663e+01
                   7              100000        1.292093e+06        1.292093e+01
                   8              100000        1.412286e+06        1.412286e+01
                   9              100000        1.524589e+06        1.524589e+01
                  10              100000        1.630077e+06        1.630077e+01
                  11              100000        1.729618e+06        1.729618e+01
                  12              100000        1.823922e+06        1.823922e+01
                  13              100000        1.913577e+06        1.913577e+01
                  14              100000        1.999074e+06        1.999074e+01
                  15              100000        2.080830e+06        2.080830e+01
                  16              100000        2.159201e+06        2.159201e+01
                  17              100000        2.234490e+06        2.234490e+01
                  18              100000        2.306963e+06        2.306963e+01
                  19              100000        2.376850e+06        2.376850e+01
                  20              100000        2.444355e+06        2.444355e+01
                  21              100000        2.509656e+06        2.509656e+01
                  22              100000        2.572911e+06        2.572911e+01
                  23              100000        2.634264e+06        2.634264e+01
                  24              100000        2.693840e+06        2.693840e+01
                  25              100000        2.751754e+06        2.751754e+01
                  26              100000        2.808109e+06        2.808109e+01
                  27              100000        2.862998e+06        2.862998e+01
                  28              100000        2.916507e+06        2.916507e+01
                  29              100000        2.968712e+06        2.968712e+01
                  30              100000        3.019686e+06        3.019686e+01
                  31              100000        3.069493e+06        3.069493e+01
                  32              100000        3.118192e+06        3.118192e+01
                  33              100000        3.165839e+06        3.165839e+01
                  34              100000        3.212486e+06        3.212486e+01
                  35              100000        3.258178e+06        3.258178e+01
                  36              100000        3.302961e+06        3.302961e+01
                  37              100000        3.346875e+06        3.346875e+01
                  38              100000        3.389957e+06        3.389957e+01
                  39              100000        3.432244e+06        3.432244e+01
                  40              100000        3.473768e+06        3.473768e+01
                  41              100000        3.514561e+06        3.514561e+01
                  42              100000        3.554651e+06        3.554651e+01
                  43              100000        3.594066e+06        3.594066e+01
                  44              100000        3.632832e+06        3.632832e+01
                  45              100000        3.670972e+06        3.670972e+01
                  46              100000        3.708510e+06        3.708510e+01
                  47              100000        3.745467e+06        3.745467e+01
                  48              100000        3.781864e+06        3.781864e+01
                  49              100000        3.817719e+06        3.817719e+01
                  50              100000        3.853051e+06        3.853051e+01
                  51              100000        3.887878e+06        3.887878e+01
                  52              100000        3.922215e+06        3.922215e+01
                  53              100000        3.956078e+06        3.956078e+01
                  54              100000        3.989482e+06        3.989482e+01
                  55              100000        4.022442e+06        4.022442e+01
                  56              100000        4.054970e+06        4.054970e+01
                  57              100000        4.087080e+06        4.087080e+01
                  58              100000        4.118783e+06        4.118783e+01
                  59              100000        4.150092e+06        4.150092e+01
                  60              100000        4.181017e+06        4.181017e+01
                  61              100000        4.211570e+06        4.211570e+01
                  62              100000        4.241760e+06        4.241760e+01
                  63              100000        4.271597e+06        4.271597e+01
                  64              100000        4.301091e+06        4.301091e+01
                  65              100000        4.330251e+06        4.330251e+01
                  66              100000        4.359085e+06        4.359085e+01
                  67              100000        4.387601e+06        4.387601e+01
                  68              100000        4.415808e+06        4.415808e+01
                  69              100000        4.443713e+06        4.443713e+01
                  70              100000        4.471324e+06        4.471324e+01
                  71              100000        4.498647e+06        4.498647e+01
                  72              100000        4.525690e+06        4.525690e+01
                  73              100000        4.552458e+06        4.552458e+01
                  74              100000        4.578959e+06        4.578959e+01
                  75              100000        4.605199e+06        4.605199e+01
                  76              100000        4.631182e+06        4.631182e+01
                  77              100000        4.656916e+06        4.656916e+01
                  78              100000        4.682405e+06        4.682405e+01
                  79              100000        4.707655e+06        4.707655e+01
                  80              100000        4.732671e+06        4.732671e+01
                  81              100000        4.757458e+06        4.757458e+01
                  82              100000        4.782021e+06        4.782021e+01
                  83              100000        4.806364e+06        4.806364e+01
                  84              100000        4.830491e+06        4.830491e+01
                  85              100000        4.854408e+06        4.854408e+01
                  86              100000        4.878118e+06        4.878118e+01
                  87              100000        4.901626e+06        4.901626e+01
                  88              100000        4.924935e+06        4.924935e+01
                  89              100000        4.948049e+06        4.948049e+01
                  90              100000        4.970972e+06        4.970972e+01
                  91              100000        4.993708e+06        4.993708e+01
                  92              100000        5.016260e+06        5.016260e+01
                  93              100000        5.038631e+06        5.038631e+01
                  94              100000        5.060825e+06        5.060825e+01
                  95              100000        5.082845e+06        5.082845e+01
                  96              100000        5.104694e+06        5.104694e+01
                  97              100000        5.126375e+06        5.126375e+01
                  98              100000        5.147892e+06        5.147892e+01
                  99              100000        5.169246e+06        5.169246e+01
                 100              100000        5.190441e+06        5.190441e+01
                 101              100000        5.211480e+06        5.211480e+01
                 102              100000        5.232364e+06        5.232364e+01
                 103              100000        5.253098e+06        5.253098e+01
                 104              100000        5.273682e+06        5.273682e+01
                 105              100000        5.294121e+06        5.294121e+01
                 106              100000        5.314415e+06        5.314415e+01
                 107              100000        5.334567e+06        5.334567e+01
                 108              100000        5.354581e+06        5.354581e+01
                 109              100000        5.374457e+06        5.374457e+01
                 110              100000        5.394198e+06        5.394198e+01
                 111              100000        5.413806e+06        5.413806e+01
                 112              100000        5.433283e+06        5.433283e+01
                 113              100000        5.452632e+06        5.452632e+01
                 114              100000        5.471853e+06        5.471853e+01
                 115              100000        5.490950e+06        5.490950e+01
                 116              100000        5.509923e+06        5.509923e+01
                 117              100000        5.528775e+06        5.528775e+01
                 118              100000        5.547508e+06        5.547508e+01
                 119              100000        5.566122e+06        5.566122e+01
                 120              100000        5.584621e+06        5.584621e+01
                 121              100000        5.603005e+06        5.603005e+01
                 122              100000        5.621276e+06        5.621276e+01
                 123              100000        5.639437e+06        5.639437e+01
                 124              100000        5.657487e+06        5.657487e+01
                 125              100000        5.675429e+06        5.675429e+01
                 126              100000        5.693265e+06        5.693265e+01
                 127              100000        5.710995e+06        5.710995e+01
                 128              100000        5.728622e+06        5.728622e+01
                 129              100000        5.746146e+06        5.746146e+01
                 130              100000        5.763569e+06        5.763569e+01
                 131              100000        5.780893e+06        5.780893e+01
                 132              100000        5.798118e+06        5.798118e+01
                 133              100000        5.815246e+06        5.815246e+01
                 134              100000        5.832278e+06        5.832278e+01
                 135              100000        5.849215e+06        5.849215e+01
                 136              100000        5.866059e+06        5.866059e+01
                 137              100000        5.882811e+06        5.882811e+01
                 138              100000        5.899472e+06        5.899472e+01
                 139              100000        5.916043e+06        5.916043e+01
                 140              100000        5.932525e+06        5.932525e+01
                 141              100000        5.948919e+06        5.948919e+01
                 142              100000        5.965227e+06        5.965227e+01
                 143              100000        5.981449e+06        5.981449e+01
                 144              100000        5.997586e+06        5.997586e+01
                 145              100000        6.013640e+06        6.013640e+01
                 146              100000        6.029611e+06        6.029611e+01
                 147              100000        6.045501e+06        6.045501e+01
                 148              100000        6.061310e+06        6.061310e+01
                 149              100000        6.077039e+06        6.077039e+01
                 150              100000        6.092690e+06        6.092690e+01
                 151              100000        6.108263e+06        6.108263e+01
                 152              100000        6.123758e+06        6.123758e+01
                 153              100000        6.139178e+06        6.139178e+01
                 154              100000        6.154522e+06        6.154522e+01
                 155              100000        6.169792e+06        6.169792e+01
                 156              100000        6.184989e+06        6.184989e+01
                 157              100000        6.200112e+06        6.200112e+01
                 158              100000        6.215164e+06        6.215164e+01
                 159              100000        6.230145e+06        6.230145e+01
                 160              100000        6.245055e+06        6.245055e+01
                 161              100000        6.259895e+06        6.259895e+01
                 162              100000        6.274667e+06        6.274667e+01
                 163              100000        6.289370e+06        6.289370e+01
                 164              100000        6.304006e+06        6.304006e+01
                 165              100000        6.318576e+06        6.318576e+01
