              ZoneID               Count       Ave_MinDist_x       Ave_MinDist_y       Ave_MinDist_z         Ave_MinDist
                   0                8987        4.346661e-01        4.252594e-01        4.474826e-01        8.746265e-01
                   1                2399        9.769365e-01        1.005686e+00        9.711396e-01        1.971401e+00
                   2                1432        1.484610e+00        1.443114e+00        1.482763e+00        2.936775e+00
                   3                1045        1.878724e+00        1.819576e+00        1.795583e+00        3.667655e+00
                   4                 659        2.256365e+00        2.364644e+00        2.355498e+00        4.659120e+00
                   5                 461        2.815101e+00        2.885582e+00        3.162380e+00        6.026363e+00
                   6                 370        3.065237e+00        2.892439e+00        3.243476e+00        6.222968e+00
                   7                 217        3.277636e+00        3.222093e+00        3.731318e+00        6.875749e+00
                   8                 159        4.837924e+00        4.392622e+00        5.808478e+00        1.010406e+01
                   9                 129        4.564236e+00        4.919587e+00        5.182938e+00        9.859275e+00
                  10                 105        4.701928e+00        5.057259e+00        7.206057e+00        1.160791e+01
                  11                  78        4.896085e+00        4.503608e+00        8.123205e+00        1.253930e+01
                  12                  43        5.158599e+00        6.429599e+00        1.019977e+01        1.476014e+01
                  13                  46        5.954570e+00        6.459692e+00        1.268041e+01        1.724098e+01
                  14                  19        8.369711e+00        8.612769e+00        1.441226e+01        2.087130e+01
                  15                  11        1.056766e+01        8.137994e+00        1.364891e+01        2.176568e+01
                  16                  26        9.585821e+00        8.896840e+00        2.039050e+01        2.723441e+01
                  17                  14        5.510830e+00        8.519607e+00        1.800357e+01        2.328484e+01
                  18                   5        8.987115e+00        1.505113e+01        9.880600e+00        2.294073e+01
                  19                   1        8.852014e+00        8.629970e+00        2.932500e+01        3.182436e+01
                  20                   2        4.722027e+00        5.127829e+00        1.143050e+01        1.651624e+01
                  21                   5        9.549466e+00        6.999239e+00        2.954400e+00        1.248166e+01
                  22                   0        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  23                   0        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  24                   2        1.690908e+01        1.908809e+01        6.645550e+01        7.416365e+01
