              ZoneID               Count       Ave_MinDist_x       Ave_MinDist_y       Ave_MinDist_z         Ave_MinDist   DevSqrt_MinDist_x   DevSqrt_MinDist_y   DevSqrt_MinDist_z     DevSqrt_MinDist
                   0                  21        6.134068e+00        7.831259e+00        4.779286e+00        1.210352e+01        6.006766e+00        4.052685e+00        3.816800e+00        6.509634e+00
                   1                 723        1.850095e+00        1.802936e+00        1.905661e+00        3.705302e+00        2.583584e+00        2.506832e+00        2.890664e+00        4.229747e+00
                   2                 233        5.450667e+00        5.171700e+00        4.990468e+00        1.057680e+01        5.173794e+00        5.730104e+00        9.430446e+00        1.086406e+01
                   3                 152        7.523170e+00        7.904662e+00        8.515092e+00        1.618877e+01        6.424625e+00        5.891077e+00        1.180001e+01        1.203051e+01
                   4                 108        9.638566e+00        8.276383e+00        9.833315e+00        1.852656e+01        7.283881e+00        6.027145e+00        1.030326e+01        1.050712e+01
                   5                  95        1.089914e+01        1.073673e+01        1.134197e+01        2.184755e+01        6.580436e+00        7.470338e+00        1.174825e+01        1.106901e+01
                   6                  95        1.078035e+01        1.219719e+01        1.398976e+01        2.464594e+01        8.086372e+00        8.124652e+00        1.233216e+01        1.169446e+01
                   7                  86        1.146892e+01        1.385676e+01        1.732095e+01        2.882455e+01        8.625394e+00        8.869363e+00        1.748415e+01        1.585766e+01
                   8                  72        1.156078e+01        1.213216e+01        2.153590e+01        3.166008e+01        8.812869e+00        9.272557e+00        2.104645e+01        1.867821e+01
                   9                  39        1.399368e+01        1.553108e+01        2.872272e+01        4.078054e+01        9.622220e+00        1.024275e+01        3.128998e+01        2.784859e+01
                  10                  53        1.780973e+01        1.695165e+01        3.183319e+01        4.452736e+01        1.174261e+01        1.066195e+01        2.701814e+01        2.483459e+01
                  11                  33        1.968242e+01        2.025372e+01        3.229809e+01        4.890744e+01        1.286823e+01        1.462258e+01        3.042533e+01        2.745819e+01
                  12                  23        1.445800e+01        2.129955e+01        2.967791e+01        4.268151e+01        1.289819e+01        1.631925e+01        2.284747e+01        2.600885e+01
                  13                  20        1.957685e+01        1.959265e+01        4.832740e+01        6.214411e+01        1.278852e+01        1.410337e+01        4.036323e+01        3.510574e+01
                  14                  10        2.130421e+01        2.416872e+01        6.081610e+01        7.467047e+01        1.459313e+01        1.801849e+01        5.716559e+01        5.446508e+01
                  15                  10        2.392159e+01        3.525085e+01        9.949680e+01        1.181507e+02        1.392724e+01        1.898236e+01        7.072090e+01        5.753815e+01
                  16                   3        3.916987e+01        2.514385e+01        1.388067e+02        1.481743e+02        1.230602e+01        1.367754e+01        5.729155e+01        5.566872e+01
                  17                   2        3.249724e+01        7.236752e+01        8.447700e+01        1.263317e+02        5.340965e+00        9.616696e+00        7.550200e+01        5.737027e+01
                  18                   2        7.137600e-01        1.257915e+01        6.577500e+01        6.697085e+01        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  19                   3        3.866086e+01        6.580530e+01        1.354900e+02        1.700755e+02        1.990185e+01        3.805001e+01        6.672402e+01        3.940619e+01
                  20                   2        6.890798e+01        3.617592e+01        7.225850e+01        1.189722e+02        1.519503e+01        9.435968e+00        5.504250e+01        2.176033e+01
                  21                   0        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  22                   1        1.611358e+02        6.274270e+01        6.948000e+01        1.863568e+02        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  23                   2        1.092881e+02        1.046547e+02        8.892850e+01        1.839020e+02        2.446174e+01        6.760372e+01        1.099750e+01        4.769080e+01
                  24                   1        2.045585e+02        1.071432e+02        3.455400e+01        2.334905e+02        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  25                   1        1.515645e+02        2.707287e+01        3.335370e+02        3.673577e+02        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
                  26                   1        1.205499e+02        9.400010e+01        5.207140e+02        5.426890e+02        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00
